,name,obs,plataform,price
0,Ghost Of Tsushima Edição Padrão,,PlayStation 4,"R$228,00"
1,The Last of Us Part II - Edição  Padrão,,PlayStation 4,"R$261,95"
2,Controle Dualshock 4,,PlayStation 4,"R$265,90"
3,Horizon Zero Dawn Complete Edition Hits,,PlayStation 4,"R$56,90"
4,Pro Evolution Soccer eFootball PES 2020,,PlayStation 4,"R$109,67"
5,Death Stranding - Edição Padrão,,PlayStation 4,"R$82,90"
6,God Of War Hits,,PlayStation 4,"R$69,38"
7,Headset Sem Fio Série Ouro - Preto - Playstation 4,,,"R$458,45"
8,The Last Of Us Remasterizado Hits,,PlayStation 4,"R$62,90"
9,"Console PlayStation 4 1TB Bundle Hits 10 - Death Stranding, The Last Of Us, Gran Turismo Sport",,PlayStation 4,"R$2.599,00"
10,Controle Dualshock 4,,PlayStation 4,"R$472,68"
11,Uncharted 4 Thief`s End Hits,,PlayStation 4,"R$49,99"
12,Call Of Duty Modern Warfare - Edição Padrão,,PlayStation 4,"R$189,37"
13,Marvel's Spider - Man - Edição Jogo do Ano,,PlayStation 4,"R$133,89"
14,Watch Dogs 2 - playstation 4,,,"R$56,90"
15,Controle Dualshock 4,,PlayStation 4,"R$299,00"
16,Days Gone,,PlayStation 4,"R$79,90"
17,Headset Sem Fio Série Ouro - Ed The Last of Us II - Playstation 4,,,"R$549,99"
18,Final Fantasy VII Remake - Edição Padrão,,PlayStation 4,"R$209,96"
19,Red Dead Redemption 2,,PlayStation 4,"R$154,99"
20,Controle Dualshock 4,,PlayStation 4,"R$299,00"
21,Cyber Punk 2077 - Edição Padrão,,PlayStation 4,"R$249,90"
22,Nioh 2,,PlayStation 4,"R$164,83"
23,FIFA 19,,PlayStation 4,"R$49,90"
24,Grand Theft Auto V - Premium Online Edition - Playstation 4,,,"R$118,89"
25,Medievil,,PlayStation 4,"R$51,34"
26,FIFA 20 - Edição Padrão,,PlayStation 4,"R$129,03"
27,The Witcher 3 - Complete Edition,,PlayStation 4,"R$97,79"
28,Fone de Ouvido Multilaser Profissional Giant P2 - PH049,,,"R$59,42"
29,"HyperX ChargePlay Duo - Carregador Duplo para Controle de PS4, HyperX, Preto/Cinza",,,"R$189,90"
30,Gran Turismo Sport Hits,,PlayStation 4,"R$69,61"
31,Controle Dualshock 4,,PlayStation 4,"R$299,99"
32,Nioh Hits,,PlayStation 4,"R$54,90"
33,Ghost Of Tsushima Edição Steelbook,,PlayStation 4,"R$299,90"
34,Uncharted: The Lost Legacy Hits,,PlayStation 4,"R$68,98"
35,Dragon Ball Z: Kakarot,,PlayStation 4,"R$185,90"
36,Controle Dualshock 4,,PlayStation 4,"R$299,00"
37,"Console PlayStation 4 1TB Bundle 11 - Just Dance 2020, Medievil, Knowledge is Power +Frantics + That's You!",,PlayStation 4,"R$2.599,00"
38,Assassin’s Creed Syndicate,,PlayStation 4,"R$57,90"
39,Shadow of The Colossus,,PlayStation 4,"R$79,99"
40,Controle Dualshock 4,,PlayStation 4,"R$299,00"
41,The Last of Us Part II - Edição Especial,,PlayStation 4,-
42,Ps4 - Controle sem fio Dualshock Ps4 - Preto,,,"R$264,90"
43,Until Dawn Hits,,PlayStation 4,"R$60,32"
44,Câmera PlayStation 4,,,-
45,"Astro A10 Headset Gamer Fone de Ouvido para Jogos Astro A10, Preto/Azul, Playstation 4",,,"R$399,00"
46,Infamous Second Son Hits,,PlayStation 4,"R$61,02"
47,Bloodborne Hits,,PlayStation 4,"R$60,64"
48,Crash Bandicoot N'sane Trilogy,,PlayStation 4,"R$119,90"
49,Controle Dualshock 4 Jet + Voucher Fortnite,,PlayStation 4,"R$339,00"
